"Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","B1_B1_O01","B1_W5_O50","B2_B5_O51","B2_C4_O40","B3_B4_O41","B3_C3_O30","B3_C6_O66","B3_H4_O41","B3_W1_O06","B3_W4_O41","B4_B2_O19","B4_B3_O32","B4_C5_O56","B4_H1_O07","B4_H5_O55","B4_W2_O19","B4_W6_O67","B5_B6_O69","B5_H2_O21","B5_W3_O33","B6_C2_O24","B6_H3_O35","B6_H6_O72","C_W5_W52","C1_C4_W37","C1_H2_W13","C1_H6_W62","C2_B2_W16","C2_C1_W03","C2_H1_W04","C2_W2_W15","C3_B3_W30","C3_C2_W17","C3_W3_W29","C4_B1_W07","C4_B5_W56","C4_C6_W67","C4_H5_W56","C5_B4_W46","C5_C3_W33","C5_W1_W09","C5_W4_W45","C6_B6_W71","C6_C5_W59","C6_H3_W36","C6_H4_W48","C6_W6_W72","H1_B2_B13","H1_B6_B61","H1_C6_B62","H1_W4_B38","H1_W5_B49","H2_B5_B51","H2_C1_B04","H2_H1_B03","H2_W2_B16","H3_B4_B41","H3_C5_B54","H3_H4_B41","H3_H6_B66","H3_W3_B30","H3_W6_B66","H4_H2_B19","H4_W1_B07","H5_B1_B09","H5_B3_B34","H5_C2_B22","H5_C4_B46","H6_C3_B36","H6_H3_B35","W1_C1_G02","W1_C6_G61","W1_H5_G49","W1_W1_G01","W1_W6_G62","W2_B2_G04","W2_B6_G64","W2_C2_G15","W3_B5_G54","W3_C3_G29","W3_H2_G18","W3_H3_G30","W4_C5_G55","W4_H1_G08","W4_W5_G56","W5_B2_G21","W5_C4_G45","W5_H4_G46","W5_W2_G22","W6_B3_G35","W6_B4_G48","W6_H6_G71","W6_W3_G36","W6_W4_G48","pair","DEG_group"
"LOC111105495",3.17489917970225,29.2596861519686,6.61789993608776,4.27018939918795,1.95307039855371e-05,0.00581038443569728,0,0,0,0,0,0,0,0,0,0,0,0,0,9.05881386457687,0,0,0,0,0,5.46372468043942,0,0,0,0,0,0,0,0,1.01314339727531,0,0,4.55174502280254,0,0,0,0,0,0,0,0,0,0,127.546016152458,0,0,0,0,0,0,8.14750815097022,0,0,0,0,0,0,0,0,0,0,3.24582434359248,0,0,0,0,0,4.65783213471529,0,0,0,0,0,0,0,0,0,0,0,7.08193266316341,0,0,0,0,11.8721714932015,0,0,4.97551489915596,0,0,0,0,110.82629608966,0,0,"WW vs. BW","BW"
"LOC111127657",152.409577030603,-8.38618459312581,1.92536594697422,-3.83624972942596,0.000124927378237025,0.0304553862014636,8.43776390736448,0,36.8448618611357,6.96043094867943,0,0,107.616268769051,168.642549527113,2.19243517667151,0,0,348.641120182645,35.8421627514178,0,30.4752083474027,0,0,9.0092666100932,1.75923260621086,0,2.77713554780885,577.778457917963,64.0418113476271,0.954541708588572,1341.11086143682,0,0,0,2.02628679455062,62.3514539867377,128.493238222861,14.7931713241082,0,318.608500659664,118.907387593938,84.9254623871004,12.8137061144616,0,42.9813373407306,56.0327774024438,1.02228670120082,81.5547834517466,21.4199416439243,12.3881676878529,3481.38724414936,1659.3283976237,0,5.82496723274145,508.509580517831,0,3.14840568853193,91.3282854995239,19.6562168645207,36.9520850980577,3.8221032085917,0.98955633831871,3.29942287578389,2.64148629896696,0,191.028561571277,544.216548275673,0,0.902495440111749,0,5.7722506666717,84.5662643047419,58.2229016839411,1054.08140790927,64.7404871711724,97.7604268614305,5.76082781852688,0,4.0490323479631,275.979704941357,0,9.54619960177383,76.3132868856709,78.3521855515549,0,333.27400280133,3.92624511035188,168.282162777733,267.626152432004,0,66.1256050217396,25.3460738699352,0,381.252541683718,146.265152739721,8.44330370847606,71.3207200523616,564.105847096371,79.6239243936952,141.325566804289,"WW vs. BW","WW"
"LOC111123118",2.37748725314678,-31.6898775366864,8.11900556743759,-3.78000449461107,0.000156825527754245,0.0366099159547802,0,0,0,0,0,0,1.3123935215738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.590048776962575,0,0,0,0,0,0,0,0,0,0,0,2.07673988443447,0,0,0,0,0,3.87130240245402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.9197919273375,1.41681778060044,0,0,3.47059915539694,0,0,0,0,0,0,0,0,0,0,0,158.267841527442,0,0,0,0,0,29.9086890542162,6.64957776537961,0,0,"WW vs. BW","WW"
"LOC111137128",15.1189226939394,-19.9403528535913,2.55611981585056,-7.40980635420206,1.26483968184155e-13,1.58579275110885e-10,0.937529323040497,0,0,0,6.93775184076961,7.05326529324469,0,0,0,0,0,49.9577214895863,0,9.05881386457687,2.65001811716545,0,0,8.25849439258543,0,0,2.77713554780885,0,0,0,42.2572244897173,0,280.522898582986,0,0,0,14.7451256977054,1.13793625570063,0,0,1.99844348897375,0,0,0,0,0,0,0,0.973633711087469,3.87130240245402,0,0,4.02720639394713,0,4.07622910234735,5.43167210064681,0,25.786810023395,0,0,0,0,0,0,0,0,4.32776579145664,0,0,132.697051950663,77.9253840000679,1.9003654899942,1.16445803367882,0,15.9197919273375,0,0,3.41585622406704,0,5.41136676355601,1.37316048512692,0,8.84791732007779,0,351.440908409484,6.80151026125163,0,0,297.696506637848,0,0,3.27046114450776,0,2.00659232465115,4.59953310502268,0,1.15033419439293,0,6.45599386975907,22.3145631796245,"WW vs. BW","WW"
"LOC111105193",10.6278317477857,-18.8658786425965,2.84789157997836,-6.27337036571184,3.53315109451032e-10,2.38521671486125e-07,0,0,7.55792038177143,26.1016160575479,0,0,0,0,0,0,0,23.3844653781042,0,2.26470346614422,7.95005435149636,0,0,6.00617774006213,0.879616303105429,0,0,0,20.9973151959433,4.77270854294286,47.8173856067854,0,105.056384329883,0,0,0,0,2.27587251140127,0,0,0,1.7510404615897,0,3.1151098266517,0,0,0,0,0,18.5822515317793,0,0,0,2.32998689309658,0,0,0,0,4.62499220341664,0,0,0,0,1.76099086597798,0,0,0,2.51579230570226,12.6349361615645,6.03168417957558,76.9633422222893,9.501827449971,0,5.31827148289237,39.2688200874324,21.2522667090066,0,3.41585622406704,0,0,0.686580242563462,0,3.31796899502917,0,406.325886549,0,0,0,99.2321688792825,0,5.42013155915898,0,19.9020595966238,0,0,0,0,0,0,0,"WW vs. BW","WW"
"LOC111114907",7.11067204191609,-21.9023231104285,5.3957646675195,-3.87383890855224,0.000107134244111809,0.0266733875145039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7569499575699,0,0,18.5142369853924,0,0,0,2.22406444682723,0,0,0,27.3548717264333,0,0,0,0,0,0,0,0,0,0,0,0,149.340577489562,0,20.1307724927609,0,20.3485087779941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.996856639428,0,0,7.03696487617151,0,0,0,0,0,0,0,135.951077717868,0,9.01894460592669,0,0,8.84791732007779,0,0,0,17.6681029965835,0,0,0,6.50415787099078,0,0,0,106.709168036526,0,0,0,0,0,"WW vs. BW","WW"
"LOC111110147",18.6327429481398,-15.672732783198,3.03236747211291,-4.83870537398103,1.30687607803584e-06,0.000477894632494253,0,0,9.44740047721428,2.61016160575479,0,0,0,0,0,0,0,203.019676691723,0,0,1.32500905858273,0,0,1.50154443501553,0,0,0,0,9.4487918381745,7.63633366870858,53.3775467238534,1.18009755392515,349.815407396314,0,0,0,4.21289305648725,0,0,2.22803147314451,0,5.25312138476909,1.50749483699548,0,0,0,0,0,0,3.09704192196322,0,0,0,11.6499344654829,0,1.3579180251617,0,0,0,0,0,0,9.89826862735167,5.28297259793393,0,0,0,0,0,0,168.357311111258,0,0,20.209431634991,16.98111138916,0,0,0,0,0,0.686580242563462,0,9.95390698508752,0,682.521260412373,0,0,6.73128651110932,146.342390468437,0,0,1.63523057225388,0,11.0362577855813,0,2.11082592711901,0,0,0,1.06259824664879,"WW vs. BW","WW"
"LOC111125529",1.68860987949835,28.2808111804715,6.72443940959718,4.05696438301402,4.97146598801037e-05,0.0133223903442064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.7486909210253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.774260480490804,2.20433974935586,0,0,0,0,0,0,0,0,5.54281276470865,0,3.95822535327484,0,0,0,0,0,10.063169222809,0,2.01056139319186,1.92408355555723,0,0,4.25461718631389,0,0.708408890300221,113.296280431029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.24387872478899,0,0,0,0,0,0,0,"WW vs. BW","BW"
"LOC111115053",33.749568394643,-23.4082909668527,3.19294421275521,-7.01806529451276,2.24961419353981e-12,2.1343974666004e-09,0,0,2.83422014316429,0,4.62516789384641,0,18.3735093020331,0,0,0,0,0,502.844459777243,0,0,0,0,1.50154443501553,0,0,0.925711849269618,0.710674609985194,0,0,11.1203222341361,0,0,0,0,9.84496641895859,10.5322326412181,0,0,37.8765350434566,15.98754791179,15.7593641543073,0,0,0,0,0,81.5547834517466,10.7099708219622,0,0,0,2.01360319697357,0,0,0.678959012580851,80.8090793389862,0,0,4.61901063725721,0,0,64.3387460777859,0,0,5.81812877882061,0,0,0,0,0,0,0,0,14.858472465515,0,244.835182287392,0,16.7745625844185,0,0,8.18245680152042,0,0,0,0,0,0,10.0234514019477,0,26.0166314839631,6.54092228901552,0,0,0,0,1604.71620117814,0,0,357.033010873992,"WW vs. BW","WW"
"LOC111101347",30.4298755561245,17.6390618791516,4.01986610363608,4.13920798608221,3.48506891100916e-05,0.00963333418275405,0,1.98859963466195,1.88948009544286,0,0,0,0,0,0,0,311.334551102421,0,0,0,0,0.995406623124216,0,0,0,5.46372468043942,0,0,38.8450331124952,0,0,0,0,0,0,0,0,291.311681459362,0,2.22803147314451,253.802323099666,0,6.02997934798191,0,0,0,0,0,0,24.0020748952149,3.67389958225977,0,0,0,0,0,0,0,0,3.69520850980577,0,0,0,0,0,0,90.8830816205895,0,105.591966493075,16.0844911455349,0,0,0,1.06365429657847,0,0,0,519.893317303004,0,0,0,17.7286564032942,1.10598966500972,0,920.651246211243,230.117763839013,0,0,12.0281416823373,0,0,0,0,0,0,0,0,0,0,0,"WW vs. BW","BW"
