"Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","B1_B1_O01","B1_W5_O50","B2_B5_O51","B2_C4_O40","B3_B4_O41","B3_C3_O30","B3_C6_O66","B3_H4_O41","B3_W1_O06","B3_W4_O41","B4_B2_O19","B4_B3_O32","B4_C5_O56","B4_H1_O07","B4_H5_O55","B4_W2_O19","B4_W6_O67","B5_B6_O69","B5_H2_O21","B5_W3_O33","B6_C2_O24","B6_H3_O35","B6_H6_O72","C_W5_W52","C1_C4_W37","C1_H2_W13","C1_H6_W62","C2_B2_W16","C2_C1_W03","C2_H1_W04","C2_W2_W15","C3_B3_W30","C3_C2_W17","C3_W3_W29","C4_B1_W07","C4_B5_W56","C4_C6_W67","C4_H5_W56","C5_B4_W46","C5_C3_W33","C5_W1_W09","C5_W4_W45","C6_B6_W71","C6_C5_W59","C6_H3_W36","C6_H4_W48","C6_W6_W72","H1_B2_B13","H1_B6_B61","H1_C6_B62","H1_W4_B38","H1_W5_B49","H2_B5_B51","H2_C1_B04","H2_H1_B03","H2_W2_B16","H3_B4_B41","H3_C5_B54","H3_H4_B41","H3_H6_B66","H3_W3_B30","H3_W6_B66","H4_H2_B19","H4_W1_B07","H5_B1_B09","H5_B3_B34","H5_C2_B22","H5_C4_B46","H6_C3_B36","H6_H3_B35","W1_C1_G02","W1_C6_G61","W1_H5_G49","W1_W1_G01","W1_W6_G62","W2_B2_G04","W2_B6_G64","W2_C2_G15","W3_B5_G54","W3_C3_G29","W3_H2_G18","W3_H3_G30","W4_C5_G55","W4_H1_G08","W4_W5_G56","W5_B2_G21","W5_C4_G45","W5_H4_G46","W5_W2_G22","W6_B3_G35","W6_B4_G48","W6_H6_G71","W6_W3_G36","W6_W4_G48","pair","DEG_group"
"LOC111105495",3.17489917970225,34.0740567364301,6.59003872953178,5.01879550240215,5.19964637099526e-07,0.000175513063320951,0,0,0,0,0,0,0,0,0,0,0,0,0,9.05881386457687,0,0,0,0,0,5.46372468043942,0,0,0,0,0,0,0,0,1.01314339727531,0,0,4.55174502280254,0,0,0,0,0,0,0,0,0,0,127.546016152458,0,0,0,0,0,0,8.14750815097022,0,0,0,0,0,0,0,0,0,0,3.24582434359248,0,0,0,0,0,4.65783213471529,0,0,0,0,0,0,0,0,0,0,0,7.08193266316341,0,0,0,0,11.8721714932015,0,0,4.97551489915596,0,0,0,0,110.82629608966,0,0,"CH vs. CB","CB"
"LOC111108825",88.7739916288024,-8.44920129929586,1.9681581380011,-3.78485913071062,0.00015379566922097,0.035011921333572,0,0,0,306.258961741895,0,438.477992396711,418.653533382041,6.20770120958699,0,35.6715739642837,1.01082646461825,0,63.2508754436784,0,39.7502717574818,567.381775180803,31.0377570686705,303.311975873138,38.7031173366389,0,0,268.635002574404,25.196778235132,62.9997527668458,465.941501610304,46.6138533800434,293.934351901695,1.04441132812802,0,0,60.0337260549434,0,0,0,0.999221744486874,0,164.316937232507,424.693306366848,1.07453343351827,55.1837959266492,0,66.7266410059745,0,0,254.233851092376,62.8953907683454,0,135.139239799602,211.963913322062,87.5857126229298,0,0,110.999812881999,461.901063725721,0,0,0,331.946778236849,0,166.786358326191,0,56.6053268783009,0,23.1214560217064,245.320653333547,214.741300369345,0,34.0369374905111,440.447576656337,22.6690844896071,44.1663466087061,32.1090485062302,351.687381080223,45.9966174902261,0,0,35.3916692803112,40.7024340527558,35.409663315817,2.26717008708388,0,278.002132908815,14.0328319627268,24.6575869474186,171.276157269424,27.798919728316,46.0235128171926,9.02966546093015,0,53.8260611415349,1.15033419439293,29.9230999442083,53.7999489146589,0,"CH vs. CB","CH"
"LOC111122352",2.1832548498635,16.5996053476008,3.16251726990377,4.93265459640494,8.11195289503755e-07,0.000256549645387651,0,0,0.944740047721428,0,0,0,0,0,0,0,0,0,3.16254377218392,0,0,0,0,0,0,30.0504857424168,0,1.42134921997039,0,0,0,0,0,0,2.02628679455062,0,2.10644652824363,0,0,0,0,0,0,0,0,0,0,0,1.94726742217494,0,0,0,0,8.15495412583803,2.03811455117367,6.11063111322766,0,24.7123596057535,1.15624805085416,0,0,1.97911267663742,0,2.64148629896696,0,0,0,0,0,1.00528069659593,1.92408355555723,0,4.65783213471529,0,2.122638923645,0,0,0,0,0,0.686580242563462,0,0,0,92.9503662040197,0,0,0,0,0,2.16805262366359,0,0,7.02307313627901,0,2.11082592711901,0,0,0,2.12519649329757,"CH vs. CB","CB"
"LOC111123472",227.831737407038,26.5886544625486,5.28309046213637,4.84350109958199,1.27571014985914e-06,0.000392840393077237,0,0,2166.28892942523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.910620780073236,0,0,2.09973151959433,2908.48858606938,0,0,0,2997.46051172741,0,0,2.10644652824363,1.13793625570063,0,0,0.999221744486874,0,2869.51642222089,0,0,0,0,0,0,2462.92258844125,0,0,0,0,0,1869.17416163508,0,0,1815.30943984103,0,0,0,0,0,0,0,0,0,0,0,0,0.9501827449971,0,0,2.122638923645,0,0,2408.17863796726,0,4.50947230296334,0,0,0,0,0,0,0,0.673128651110932,0,455.708736546736,0,0,603.28118152266,0,0,842.219544920487,0,0,0,2.12519649329757,"CH vs. CB","CB"
"LOC111136853",88.4529321797491,6.98084620343429,1.47876537104529,4.04448624544585,5.24379866787969e-05,0.0127835800163831,2.81258796912149,216.757360178152,22.6737611453143,5.22032321150957,4.62516789384641,10.579897939867,1779.60561525407,9.31155181438049,0,40.6259592371009,6.0649587877095,0,7.37926880176248,45.2940693228843,71.5504891634673,0.995406623124216,7.49187239588597,0.750772217507766,0.879616303105429,333.287205506804,205.508030537855,1.42134921997039,4.19946303918866,6.68179196012001,0,2.95024388481287,8.94096887913901,133.684650000386,81.0514717820246,1.09388515766207,3.15966979236544,0,822.570264573485,18.9382675217283,274.78597973389,3.5020809231794,0,0,11.8198677687009,4.24490737897302,2.04457340240164,0,1434.16245643184,638.764896404913,0,1.8498644343631,8.05441278789426,0,1.01905727558684,12.2212622264553,0,0,5.7812402542708,45.2663042451207,164.350437969443,0,1.64971143789195,0.880495432988988,308.986197080864,587.631006660881,4.32776579145664,12.5789615285113,0.902495440111749,1.00528069659593,0,0.9501827449971,15.1379544378247,0,5.30659730911249,9.91772446420309,14.4020695463172,20.4951373444022,2.31373277026463,0,2.74632097025385,12.2736852022806,4.4239586600389,434.498483513168,0.885241582895426,3.40075513062581,308.210241162623,0.673128651110932,15.0351771029216,0,4.33610524732718,9.81138343352329,3.73163617436697,16.0527385972092,0,0,6.90200516635758,17.7322073743456,2.15199795658636,21.2519649329757,"CH vs. CB","CB"
"LOC111106287",5.57937339570866,40.7296542766753,5.53193234131354,7.18187639063598,6.87610780544524e-13,6.17673481617099e-10,0,0,0,0,0,0,0,0,0,0,0,0,1.05418125739464,0,0,0,0,0,0,135.682496230912,17.5885251361227,0,0,0,0,0,0,0,0,0,0,0,0,14.4822045754393,0,0,0,0,3.2236003005548,0,0,0,0,15.4852096098161,0,0,0,0,1.01905727558684,0,0,0,0,0,0,0,0,0,0,0,143.898212565933,0,0,0,0,0,0,0,0,0,0,63.534925767647,0,36.9776728842994,0,17.7286564032942,0,0,52.2292533908301,0,19.6312255517594,0,0,0,0,0.817615286126941,0,0,0,0,0,1.1082629608966,0,0,"CH vs. CB","CB"
"LOC111113589",5.10078479960862,16.9884153871881,2.82648841072329,5.65663574863084,1.54368892395626e-08,6.60932502664463e-06,0,1.98859963466195,5.66844028632857,0,0,2.35108843108156,3.93718056472139,0,0,0,0,2.12586048891857,35.8421627514178,0,0,0,0,0,1.75923260621086,0,0,0,9.4487918381745,0,1.11203222341361,0,0,0,0,0,3.15966979236544,0,0,51.2447238823236,0.999221744486874,1.7510404615897,0,0,0,0,0,0,0,0,0,0,0,6.98996067928974,2.03811455117367,0,33.5829940110072,0,0,0,0,0,16.4971143789195,0,16.9307505249788,3.87875251921374,0,2.51579230570226,0,2.01056139319186,0,0,0,0,0,0,0,0,0,0,0,9.54619960177383,0,0,0,5.66792521770969,0,0,0,1.82648792203101,2.16805262366359,0.817615286126941,0,2.00659232465115,0,0,233.517841461765,0,2.15199795658636,15.9389736997318,"CH vs. CB","CB"
"LOC111105578",14.9071188951812,-23.1800401416865,3.08970378271578,-7.17869469098125,7.03801146978606e-13,6.17673481617099e-10,5.62517593824298,0,9.44740047721428,0,6.93775184076961,0,0,0,0,0,0,49.9577214895863,0,4.52940693228843,0,0,0,1.50154443501553,0,3.64248312029294,0,0,2.09973151959433,12.4090422116514,28.9128378087539,0,287.228625242341,0,0,0,10.5322326412181,0,0,2.22803147314451,0,0,2.26124225549322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.93937625960687,0,0,0,2.01056139319186,161.623018666808,3.8007309799884,0,4.25461718631389,4.24527784728999,2.83363556120088,0,0,0,0,0,2.72748560050681,14.3778656451264,0,569.210337801759,0,0,0,195.457302337981,0,0,0,0,7.02307313627901,0,0,2.30066838878586,0,2.15199795658636,0,"CH vs. CB","CH"
"LOC111104470",47.5030768526159,-6.4669609798334,1.48022533694848,-3.69333022707452,0.000221336296632116,0.0485625668329402,0,3.97719926932389,15.1158407635429,7.83048481726436,4.62516789384641,18.8087074486525,24.9354769099021,24.830804838348,0,0,1.01082646461825,213.648979136316,64.305056701073,15.8529242630095,39.7502717574818,9.95406623124216,2.14053497025314,33.0339775703417,0,14.5699324811718,0,1.42134921997039,19.9474494361462,8.59087537729715,322.489344789948,0,965.624638947013,0,3.03943019182592,56.8820281984274,30.5434746595326,0,1.86735587871393,12.2541731022948,1.99844348897375,5.25312138476909,23.3661699734299,2.07673988443447,4.29813373407306,0,26.5794542312213,0,0,24.7763353757057,2.93911966580782,1.8498644343631,11.0748175833546,4.65997378619316,2.03811455117367,10.1843851887128,1.04946856284398,0,5.7812402542708,0,0,0,19.7965372547033,2.64148629896696,21.1634381562235,0.969688129803434,4.32776579145664,0,19.8548996824585,2.01056139319186,207.801024000181,7.6014619599768,3.49337410103647,0,16.98111138916,2.12522667090066,0.96013796975448,2.73268497925363,2.31373277026463,1.80378892118534,1.37316048512692,45.0035124083623,90.6911525307974,0,1156.12550726143,22.6717008708388,3.92624511035188,16.8282162777733,677.585314771667,6.39270772710852,2.16805262366359,1.63523057225388,8.70715107352292,12.0395539479069,3.67962648401815,0,18.4053471102869,5.54131480448301,11.835988761225,19.1267684396782,"CH vs. CB","CH"
"LOC111107723",8.66039565788235,-31.5924322490629,8.11862277134271,-3.76818003628014,0.000164442089029,0.0365363261731839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.476355036161,0,0,0,0,126.822523349938,0,0,0,0,0,143.055502066224,0,0,0,0,0,0,0,0,0,0,156.793861274802,0,0,0,0,0,22.4535539342333,0,0,0,0,0,0,0,0,0,79.446982960824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149.197314193372,0,0,22.8310990253876,0,0,0,0,0,0,0,0,0,0,"CH vs. CB","CH"
