"Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","svalue","B1_B1_O01","B1_W5_O50","B2_B5_O51","B2_C4_O40","B3_B4_O41","B3_C3_O30","B3_C6_O66","B3_H4_O41","B3_W1_O06","B3_W4_O41","B4_B2_O19","B4_B3_O32","B4_C5_O56","B4_H1_O07","B4_H5_O55","B4_W2_O19","B4_W6_O67","B5_B6_O69","B5_H2_O21","B5_W3_O33","B6_C2_O24","B6_H3_O35","B6_H6_O72","C_W5_W52","C1_C4_W37","C1_H2_W13","C1_H6_W62","C2_B2_W16","C2_C1_W03","C2_H1_W04","C2_W2_W15","C3_B3_W30","C3_C2_W17","C3_W3_W29","C4_B1_W07","C4_B5_W56","C4_C6_W67","C4_H5_W56","C5_B4_W46","C5_C3_W33","C5_W1_W09","C5_W4_W45","C6_B6_W71","C6_C5_W59","C6_H3_W36","C6_H4_W48","C6_W6_W72","H1_B2_B13","H1_B6_B61","H1_C6_B62","H1_W4_B38","H1_W5_B49","H2_B5_B51","H2_C1_B04","H2_H1_B03","H2_W2_B16","H3_B4_B41","H3_C5_B54","H3_H4_B41","H3_H6_B66","H3_W3_B30","H3_W6_B66","H4_H2_B19","H4_W1_B07","H5_B1_B09","H5_B3_B34","H5_C2_B22","H5_C4_B46","H6_C3_B36","H6_H3_B35","W1_C1_G02","W1_C6_G61","W1_H5_G49","W1_W1_G01","W1_W6_G62","W2_B2_G04","W2_B6_G64","W2_C2_G15","W3_B5_G54","W3_C3_G29","W3_H2_G18","W3_H3_G30","W4_C5_G55","W4_H1_G08","W4_W5_G56","W5_B2_G21","W5_C4_G45","W5_H4_G46","W5_W2_G22","W6_B3_G35","W6_B4_G48","W6_H6_G71","W6_W3_G36","W6_W4_G48","pair","DEG_group"
"LOC111119645",543.131588496569,-6.75228739507393,2.52018470685378,-4.4063082008597,1.05147326962091e-05,0.00238141736322851,0.00477394511702824,1710.05348522587,27.8403948852672,2502.61638641406,21.7513467146232,0,4.70217686216312,4.59337732550828,0,2.19243517667151,1.98175410912687,462.958520795158,25.5103258670228,8.43345005915712,11.3235173307211,0,541.501202979573,21.4053497025314,2376.94484062959,8.79616303105429,2632.60467519173,0,0,2514.42849471421,2692.76215992836,48.929417830199,6.49053654658832,61.4691610440807,10.4441132812802,4.05257358910123,10.9388515766207,26.3305816030453,891.004088213597,1.86735587871393,2.22803147314451,1526.81082557594,10.5062427695382,162.809442395512,5.19184971108616,5.37266716759133,20.3755554190705,16.3565872192131,0,0,7647.37076580767,19.1042778277508,18.498644343631,54.3672863182863,883.065032483604,337.307958219243,12.2212622264553,12.5936227541277,2.14890083528292,25.4374571187915,22.1712510588346,11.4663096257751,15.8329014130994,13.1976915031356,1.76099086597798,39.1523605890135,39.7572133219408,909.91275765376,45.2842615026407,209.378942105926,632.32155815884,79.8494675556252,11.4021929399652,9.31566426943058,1256.17572425918,954.126196178426,19.127040038106,11.5216556370538,3626.95613871438,282.275397972284,9.01894460592669,1.37316048512692,3639.82953387633,1985.25144869245,6.10536510791337,6615.41034897752,1746.85455209813,47.1149413242226,16.1550876266624,590.381287574721,18.2648792203101,339.300235603352,14.7170751502849,6.21939362394495,187.616382354882,135.226273287667,8.44330370847606,6.90200516635758,16.623944413449,30.127971392209,46.7543228525466,"CC vs. BC","CC"
"LOC111116296",466.599152051024,-5.10979078522676,4.0662445683425,-3.9179551325059,8.93033228980042e-05,0.0168548018835185,0.0368231598380336,0,0,180.445349114793,1.74010773716986,0,0,19.02970606282,122.084790455211,0,0,0,246.599816714554,108.580669511648,0,0,43.7978914174655,0,36.0370664403728,1.75923260621086,7.28496624058589,0,0,10.4986575979717,0,37814.6557571799,0,131.8792909673,44.9096871095047,0,50.318717252455,510.813283099079,4.55174502280254,0,689.575740938224,9.99221744486874,28.89216761623,25.6274122289231,2.07673988443447,36.5341367396211,16.1306480400975,0,2.11830606368173,21.4199416439243,0,1.46955983290391,2.77479665154465,2.01360319697357,1116.06372179326,4.07622910234735,4.07375407548511,38.8303368252271,64.4670250584875,50.8749142375831,0,0,246.399528241359,1083.86041469501,12.3269360618458,27.5124696030906,0,1.08194144786416,37.7368845855339,5.41497264067049,6.03168417957558,0,30.4058478399072,11.6445803367882,0,40.3301395492549,0,59.5285541247778,4.09902746888045,2.89216596283078,0,2.74632097025385,139.101765625847,96.221100855846,4.07024340527558,43.3768375618759,0,1.96312255517594,10.7700584177749,58.1360181312968,5.47946376609302,301.359314689239,3.27046114450776,2.48775744957798,60.1977697395344,0,4.22165185423803,103.530077495364,0,0,2.12519649329757,"CC vs. BC","CC"
"LOC111105495",3.17489917970225,-13.5831663110412,12.3136904042203,-3.76313481209684,0.000167796687479871,0.0291609045246578,0.0444584723944352,0,0,0,0,0,0,0,0,0,0,0,0,0,9.05881386457687,0,0,0,0,0,5.46372468043942,0,0,0,0,0,0,0,0,1.01314339727531,0,0,4.55174502280254,0,0,0,0,0,0,0,0,0,0,127.546016152458,0,0,0,0,0,0,8.14750815097022,0,0,0,0,0,0,0,0,0,0,3.24582434359248,0,0,0,0,0,4.65783213471529,0,0,0,0,0,0,0,0,0,0,0,7.08193266316341,0,0,0,0,11.8721714932015,0,0,4.97551489915596,0,0,0,0,110.82629608966,0,0,"CC vs. BC","CC"
"LOC111134671",625.011705020809,1.29902728586574,1.89644841266114,3.74097446844725,0.000183308143657993,0.0309376556880473,0.128474860437427,1630.36349276742,396.725627115058,3786.51811126748,25.2315621889629,1169.01118516968,1652.81516705034,1735.64043228134,35.176973520993,73.4465784184957,35.6715739642837,442.741991502793,69.0904658898534,2809.39305095672,697.528667572419,219.951503724733,7.96325298499372,374.593619794299,275.53340382535,117.868584616127,35.5142104228562,31.474202875167,1834.25116837179,81.889529264179,145.090339705463,37.8090955960628,395.332680564925,1514.37660390417,453.274516407559,17.2234377536802,733.996940791246,49.5014934137252,872.797108122386,70.9595233911293,102.489447764647,78.9385178144631,584.847514170959,316.57391576905,148.486901737064,2118.97993089802,42.4490737897302,64.4040621756516,245.723503387081,2035.8680898839,50.3269312319023,738.453816034214,129.490510405417,46.312873530392,551.041900217341,285.336037164314,2376.35654403298,45.127148202291,1440.83801005719,2194.5588005212,50.8091170098293,427.120033560122,55.4151549458478,438.823242479257,3648.77307430637,874.049995852032,51.393470879582,19.4749460615549,339.631961269805,106.494461933186,11.0580876625552,738.848085333977,149.178690964545,122.268093536276,481.835396350048,8.49055569457998,646.777316844102,27.8440011228799,1202.3813908716,249.88313918858,28.8606227389654,72.0909254691635,1067.81061259842,4602.02299610546,68.1765770383659,517.866325993824,397.88835028322,72.6355345415098,1009.01984801529,2566.00355889862,374.430024016356,138.75536791447,65.4092228901552,343.310528041761,47.1549196293019,18.3981324200907,182.586442695795,1589.76185665103,113.042822011453,34.4319673053817,365.533796847182,"CC vs. BC","BC"
"LOC111113871",17.3806224733626,-17.4500854868042,2.77028254999094,-6.38028596433937,1.76757608396243e-10,8.99286354021756e-08,7.18815461198886e-08,0,0,17.0053208589857,0,0,0,0,41.38467473058,0,0,1.01082646461825,4.25172097783713,0,0,0,3.98162649249686,0,52.5540552255436,1.75923260621086,1.82124156014647,0,0,27.2965097547263,0,2.22406444682723,0,0,0,0,6.56331094597239,0,0,0,123.65574675952,2.99766523346062,3.5020809231794,1.50749483699548,0,4.29813373407306,0,0,2.11830606368173,5.84180226652481,6.19408384392643,4.40867949871173,0,0,0,4.07622910234735,0,0,0,0,0,1.91105160429585,0,0,0.880495432988988,0,0,89.8011401727254,0,760.803656014204,0,0,0,0,0,0,1.41681778060044,1.92027593950896,1.36634248962682,0,12.6265224482974,0,178.650306833196,249.953664292198,0,1.77048316579085,0,0,1.34625730222186,0,0,0,0,0,0,12.8786926940635,0,0,0,0,0,"CC vs. BC","CC"
"LOC111123472",227.831737407038,-24.3777985711366,5.78740715435396,-4.84318803778436,1.27772263695864e-06,0.000334734725152486,0.000585751680556366,0,0,2166.28892942523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.910620780073236,0,0,2.09973151959433,2908.48858606938,0,0,0,2997.46051172741,0,0,2.10644652824363,1.13793625570063,0,0,0.999221744486874,0,2869.51642222089,0,0,0,0,0,0,2462.92258844125,0,0,0,0,0,1869.17416163508,0,0,1815.30943984103,0,0,0,0,0,0,0,0,0,0,0,0,0.9501827449971,0,0,2.122638923645,0,0,2408.17863796726,0,4.50947230296334,0,0,0,0,0,0,0,0.673128651110932,0,455.708736546736,0,0,603.28118152266,0,0,842.219544920487,0,0,0,2.12519649329757,"CC vs. BC","CC"
"LOC111113377",196.27621112179,-24.5953144957584,2.51982333160602,-9.86811842453358,5.72279927061742e-23,2.23220964883361e-19,0,708.772168218616,236.643356524772,243.742932312128,0,153.786832470393,0,0,0,0,0,248.663310296089,55.2723727118827,0,237.793863945143,143.100978326935,0,260.074998885756,310.068925830707,0,0,0,159.901787246669,114.435367817891,809.451368883109,0,994.822237958901,0,0,11.1445773700284,602.730721871798,0,0,246.490975990238,0,0,235.514942083814,1192.42841606342,0,413.695371904533,0,0,0,109.046975641797,0,2.20433974935586,0,725.90395250897,230.668702416561,592.072277115952,0.678959012580851,442.875733520158,69.8392771466947,184.999688136666,0,0,0,351.388536270984,0,212.692553470047,864.961811784663,1054.89291166756,0,0,256.346577631962,1.92408355555723,433.283331718678,268.989805779808,0,0,162.225635878751,132.499039826118,411.269089377672,0,515.883631459006,0,192.28773483573,0,771.311125299722,266.457716451523,307.201546799865,0,169.628420079955,23.0539382244798,316.89565447238,0,8.17615286126941,481.381066493339,80.2636929860458,680.730899543357,0,0,0,447.615574969962,301.777902048255,"CC vs. BC","CC"
"LOC111105578",14.9071188951812,-19.0135525593728,3.21141967586615,-6.02572760334819,1.68350517607932e-09,6.71584650071188e-07,1.51425739790489e-06,5.62517593824298,0,9.44740047721428,0,6.93775184076961,0,0,0,0,0,0,49.9577214895863,0,4.52940693228843,0,0,0,1.50154443501553,0,3.64248312029294,0,0,2.09973151959433,12.4090422116514,28.9128378087539,0,287.228625242341,0,0,0,10.5322326412181,0,0,2.22803147314451,0,0,2.26124225549322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.93937625960687,0,0,0,2.01056139319186,161.623018666808,3.8007309799884,0,4.25461718631389,4.24527784728999,2.83363556120088,0,0,0,0,0,2.72748560050681,14.3778656451264,0,569.210337801759,0,0,0,195.457302337981,0,0,0,0,7.02307313627901,0,0,2.30066838878586,0,2.15199795658636,0,"CC vs. BC","CC"
"LOC111107221",5.76896009338388,20.9052034635883,3.87073906708784,5.55782219557198,2.73161435451878e-08,8.87901128846128e-06,1.58710414690216e-05,0,0,0,0,9.25033578769282,0,63.6510857963291,0,6.57730553001454,0,0,0,0,0,0,0,0,0,0,10.9274493608788,0,0,0,0,0,20.0616584167275,0,0,0,0,0,0,0,0,1.99844348897375,3.5020809231794,0,0,22.5652021038836,0,0,0,76.91706317591,0,0,0,15.1020239773017,0,0,1.3579180251617,0,0,31.2186973730623,0,0,0,1.64971143789195,0,11.6398909859229,0,0,0,0,0,0,0,2.32891606735765,0,0,0,30.7244150321434,0,6.94119831079388,0,2.05974072769038,28.6385988053215,7.74192765506807,0,0,0,0,0,94.2204431783087,0,0,93.2081426184712,0,0,0,0,0,0,0,0,"CC vs. BC","BC"
"LOC111100488",10.3834424873326,-20.7247432776916,2.55512435183367,-8.20085866964025,2.38676001036067e-16,2.88921414357625e-13,3.06309165857065e-13,0,1.98859963466195,11.3368805726571,0,6.93775184076961,0,0,0,0,0,0,53.1465122229642,0,49.8234762551728,0,0,0,1.50154443501553,1.75923260621086,0,0,0,0,29.5907929662457,54.489578947267,0,102.821142110099,0,0,41.5676359911585,6.31933958473088,1.13793625570063,0.933677939356964,2.22803147314451,6.99455221140812,0,9.04496902197287,0,0,4.24490737897302,6.13372020720492,22.2422136686582,0,7.74260480490804,0,0,0,0,0,0,0,0,0,3.69520850980577,0,0,6.59884575156778,4.40247716494494,44.4432201280694,0,0,0,0,11.0580876625552,19.2408355555723,0,4.65783213471529,0,10.613194618225,0,0.96013796975448,2.73268497925363,0,0,0,0,2.21197933001945,0,355.867116323961,4.53434017416775,0,6.05815785999838,56.1313278509073,9.13243961015503,0,0,0,1.00329616232557,0,0,0,2.2165259217932,0,8.50078597319029,"CC vs. BC","CC"
