"Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","svalue","B1_B1_O01","B1_W5_O50","B2_B5_O51","B2_C4_O40","B3_B4_O41","B3_C3_O30","B3_C6_O66","B3_H4_O41","B3_W1_O06","B3_W4_O41","B4_B2_O19","B4_B3_O32","B4_C5_O56","B4_H1_O07","B4_H5_O55","B4_W2_O19","B4_W6_O67","B5_B6_O69","B5_H2_O21","B5_W3_O33","B6_C2_O24","B6_H3_O35","B6_H6_O72","C_W5_W52","C1_C4_W37","C1_H2_W13","C1_H6_W62","C2_B2_W16","C2_C1_W03","C2_H1_W04","C2_W2_W15","C3_B3_W30","C3_C2_W17","C3_W3_W29","C4_B1_W07","C4_B5_W56","C4_C6_W67","C4_H5_W56","C5_B4_W46","C5_C3_W33","C5_W1_W09","C5_W4_W45","C6_B6_W71","C6_C5_W59","C6_H3_W36","C6_H4_W48","C6_W6_W72","H1_B2_B13","H1_B6_B61","H1_C6_B62","H1_W4_B38","H1_W5_B49","H2_B5_B51","H2_C1_B04","H2_H1_B03","H2_W2_B16","H3_B4_B41","H3_C5_B54","H3_H4_B41","H3_H6_B66","H3_W3_B30","H3_W6_B66","H4_H2_B19","H4_W1_B07","H5_B1_B09","H5_B3_B34","H5_C2_B22","H5_C4_B46","H6_C3_B36","H6_H3_B35","W1_C1_G02","W1_C6_G61","W1_H5_G49","W1_W1_G01","W1_W6_G62","W2_B2_G04","W2_B6_G64","W2_C2_G15","W3_B5_G54","W3_C3_G29","W3_H2_G18","W3_H3_G30","W4_C5_G55","W4_H1_G08","W4_W5_G56","W5_B2_G21","W5_C4_G45","W5_H4_G46","W5_W2_G22","W6_B3_G35","W6_B4_G48","W6_H6_G71","W6_W3_G36","W6_W4_G48","pair","DEG_group"
"LOC111116296",466.599152051024,-8.80222982878289,2.35069990894946,-4.71240268558851,2.44813000044457e-06,0.000801750691019379,0.00240678128894944,0,0,180.445349114793,1.74010773716986,0,0,19.02970606282,122.084790455211,0,0,0,246.599816714554,108.580669511648,0,0,43.7978914174655,0,36.0370664403728,1.75923260621086,7.28496624058589,0,0,10.4986575979717,0,37814.6557571799,0,131.8792909673,44.9096871095047,0,50.318717252455,510.813283099079,4.55174502280254,0,689.575740938224,9.99221744486874,28.89216761623,25.6274122289231,2.07673988443447,36.5341367396211,16.1306480400975,0,2.11830606368173,21.4199416439243,0,1.46955983290391,2.77479665154465,2.01360319697357,1116.06372179326,4.07622910234735,4.07375407548511,38.8303368252271,64.4670250584875,50.8749142375831,0,0,246.399528241359,1083.86041469501,12.3269360618458,27.5124696030906,0,1.08194144786416,37.7368845855339,5.41497264067049,6.03168417957558,0,30.4058478399072,11.6445803367882,0,40.3301395492549,0,59.5285541247778,4.09902746888045,2.89216596283078,0,2.74632097025385,139.101765625847,96.221100855846,4.07024340527558,43.3768375618759,0,1.96312255517594,10.7700584177749,58.1360181312968,5.47946376609302,301.359314689239,3.27046114450776,2.48775744957798,60.1977697395344,0,4.22165185423803,103.530077495364,0,0,2.12519649329757,"CC vs. HC","CC"
"LOC111134671",625.011705020809,1.0116925837927,1.70673152899093,3.75178278886248,0.000175581556907178,0.0330878049027538,0.168430410741221,1630.36349276742,396.725627115058,3786.51811126748,25.2315621889629,1169.01118516968,1652.81516705034,1735.64043228134,35.176973520993,73.4465784184957,35.6715739642837,442.741991502793,69.0904658898534,2809.39305095672,697.528667572419,219.951503724733,7.96325298499372,374.593619794299,275.53340382535,117.868584616127,35.5142104228562,31.474202875167,1834.25116837179,81.889529264179,145.090339705463,37.8090955960628,395.332680564925,1514.37660390417,453.274516407559,17.2234377536802,733.996940791246,49.5014934137252,872.797108122386,70.9595233911293,102.489447764647,78.9385178144631,584.847514170959,316.57391576905,148.486901737064,2118.97993089802,42.4490737897302,64.4040621756516,245.723503387081,2035.8680898839,50.3269312319023,738.453816034214,129.490510405417,46.312873530392,551.041900217341,285.336037164314,2376.35654403298,45.127148202291,1440.83801005719,2194.5588005212,50.8091170098293,427.120033560122,55.4151549458478,438.823242479257,3648.77307430637,874.049995852032,51.393470879582,19.4749460615549,339.631961269805,106.494461933186,11.0580876625552,738.848085333977,149.178690964545,122.268093536276,481.835396350048,8.49055569457998,646.777316844102,27.8440011228799,1202.3813908716,249.88313918858,28.8606227389654,72.0909254691635,1067.81061259842,4602.02299610546,68.1765770383659,517.866325993824,397.88835028322,72.6355345415098,1009.01984801529,2566.00355889862,374.430024016356,138.75536791447,65.4092228901552,343.310528041761,47.1549196293019,18.3981324200907,182.586442695795,1589.76185665103,113.042822011453,34.4319673053817,365.533796847182,"CC vs. HC","HC"
"LOC111110995",632.880542664976,-4.44222877888599,2.83159853956634,-4.1834984494979,2.87057048741219e-05,0.00756485028760843,0.0293095297076357,10.3128225534455,0,52.9054426724,33.0620470062273,16.1880876284624,2603.83043742283,114.17823637692,83.8039663294244,21.9243517667151,3.96350821825375,30.3247939385475,3.18879073337785,1.05418125739464,4.52940693228843,10.6000724686618,2875.72973420586,3522.25029355153,7.50772217507766,2.63884890931629,66.4753169453462,8.33140664342656,6.39607148986675,3614.68781098164,3200.57834889748,3.33609667024084,2664.07022798602,2830.93427135739,13.5773472656642,9.11829057547777,19.6899328379172,2279.1751435596,20.4828526026114,83.0973366027698,71.2970071406242,23.981321867685,12.2572832311279,3422.76702739823,3411.04526018361,46.2049376412854,31.4123146044003,16.3565872192131,2.11830606368173,12.6572382441371,0.774260480490804,26.4520769922704,9.24932217181551,3533.87361068861,37.2797902895453,4730.46387327409,8.82646716355107,20.9893712568795,108.519492181787,20.8124649153749,10.1618234019659,1905.31844948296,2657.94832472406,31.344517319947,5.28297259793393,79.3628930858383,3803.11684508907,115.767734921465,44.0263653497896,2615.43178544385,8.04224557276744,3477.7810266697,57.9611474448231,6.98674820207294,7.44558007604931,19.103750312805,3.5420444515011,0,7.51488369294749,17.3529957769847,5.41136676355601,4.80606169794423,4.09122840076021,15.4838553101361,4.07024340527558,9.73765741184968,1.13358504354194,10.7971740534677,25.5788887422154,1.00234514019477,31.9635386355426,34.6888419786175,26.1636891560621,13.6826659726789,4.01318464930229,6.43934634703176,15.8311944533926,62.1180464972182,9.97436664806942,2737.34140077785,1827.66898423591,"CC vs. HC","CC"
"LOC111106287",5.57937339570866,-39.8857045654487,5.36842565715823,-7.79774473272719,6.30233317651934e-15,7.87371491519816e-12,1.79173089619176e-11,0,0,0,0,0,0,0,0,0,0,0,0,1.05418125739464,0,0,0,0,0,0,135.682496230912,17.5885251361227,0,0,0,0,0,0,0,0,0,0,0,0,14.4822045754393,0,0,0,0,3.2236003005548,0,0,0,0,15.4852096098161,0,0,0,0,1.01905727558684,0,0,0,0,0,0,0,0,0,0,0,143.898212565933,0,0,0,0,0,0,0,0,0,0,63.534925767647,0,36.9776728842994,0,17.7286564032942,0,0,52.2292533908301,0,19.6312255517594,0,0,0,0,0.817615286126941,0,0,0,0,0,1.1082629608966,0,0,"CC vs. HC","CC"
"LOC111125092",4.38886990330183,-19.4056403601756,2.94632417069301,-6.67137554161457,2.53416817367803e-11,2.03529906748827e-08,2.55954430059893e-08,3.75011729216199,0,0,0,0,1.17554421554078,0,0,0,0,1.01082646461825,1.06293024445928,0,0,1.32500905858273,0,3.2108024553797,1.50154443501553,0,3.64248312029294,0,11.3707937597631,0,48.6816271380172,0,34.2228290638293,0,1.04441132812802,0,0,0,0,0,0,0,0,24.8736648104254,0,0,0,0,0,2.92090113326241,0,0,0,37.251659144011,0,120.248758519247,0,0,0,0,0,0,0,0,0,0,4.84844064901717,2.16388289572832,0,1.8049908802235,0,3.84816711111446,0,0,0,0,0,0,0,0,0,0,5.45497120101362,0,0,0.885241582895426,2.26717008708388,0,0.673128651110932,0,0,4.33610524732718,0,4.97551489915596,0,0,0,1.15033419439293,0,82.8519213285748,0,"CC vs. HC","CC"
"LOC111100593",10.3395270635139,-19.8529469838101,2.25327911335107,-8.87684346981029,6.8784493836066e-19,1.30634214567776e-15,1.57662638871736e-15,7.50023458432398,0,1.88948009544286,0,0,0,0,0,0,0,0,31.8879073337785,0,0,5.30003623433091,0,12.8432098215188,0,1.75923260621086,0,2.77713554780885,4.26404765991117,0,51.5452522637829,18.9045477980314,15.3412682010269,0,21.9326378906883,0,28.4410140992137,18.9580187541926,0,0,0,6.99455221140812,4.37760115397425,0,0,4.29813373407306,0,0,0,0,16.2594700903069,13.2260384961352,0,28.1904447576299,0,22.4192600629104,0,97.6005763444898,26.8612604410364,11.5624805085416,0,3.8221032085917,0,0,0,0,3.87875251921374,219.634113916425,2.51579230570226,28.879854083576,0,16.3547102222365,0,0,0,0,1.41681778060044,0,0,0,133.480380167715,2.74632097025385,24.5473704045613,6.63593799005834,2.03512170263779,9.73765741184968,39.6754765239678,3.92624511035188,0,12.0281416823373,0,0,0,0,0,0,3.16623889067852,2.30066838878586,0,0,0,"CC vs. HC","CC"
"LOC111113589",5.10078479960862,-14.949104567391,2.82159346421114,-5.40759250782064,6.38775519444187e-08,2.95166792080703e-05,5.45669087158195e-05,0,1.98859963466195,5.66844028632857,0,0,2.35108843108156,3.93718056472139,0,0,0,0,2.12586048891857,35.8421627514178,0,0,0,0,0,1.75923260621086,0,0,0,9.4487918381745,0,1.11203222341361,0,0,0,0,0,3.15966979236544,0,0,51.2447238823236,0.999221744486874,1.7510404615897,0,0,0,0,0,0,0,0,0,0,0,6.98996067928974,2.03811455117367,0,33.5829940110072,0,0,0,0,0,16.4971143789195,0,16.9307505249788,3.87875251921374,0,2.51579230570226,0,2.01056139319186,0,0,0,0,0,0,0,0,0,0,0,9.54619960177383,0,0,0,5.66792521770969,0,0,0,1.82648792203101,2.16805262366359,0.817615286126941,0,2.00659232465115,0,0,233.517841461765,0,2.15199795658636,15.9389736997318,"CC vs. HC","CC"
"LOC111099751",5.64582501014509,-18.5285866819539,2.45154611442789,-7.62487021394541,2.44280030660405e-14,2.57501687319899e-11,6.00105806704809e-11,0,1.98859963466195,0.944740047721428,0,0,0,2.62478704314759,0,0,0,0,4.25172097783713,3.16254377218392,0,0,0,0,1.50154443501553,0,0,0,0,1.04986575979717,0,8.8962577873089,0,0,0,1.01314339727531,2.18777031532413,9.47900937709632,0,2.80103381807089,13.368188838867,0,6.12864161556394,0,0,0,0,0,0,5.84180226652481,1.54852096098161,2.20433974935586,0,8.05441278789426,0,2.03811455117367,0,2.09893712568795,19.3401075175462,2.31249610170832,0,0,0,0,0,0,0,14.0652388222341,0,112.811930013969,0,1.92408355555723,0,0,0,0,0,0,0,4.62746554052925,0,0,88.6432820164712,102.857038845904,0,0,0,0,0,2.00469028038955,0,19.5124736129723,0,0,0,3.67962648401815,0,2.30066838878586,0,0,75.4444755120638,"CC vs. HC","CC"
"LOC111114907",7.11067204191609,-12.6088634588783,10.1257905872592,-3.86829241995069,0.000109600181975589,0.0232517820025193,0.0554740318463901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7569499575699,0,0,18.5142369853924,0,0,0,2.22406444682723,0,0,0,27.3548717264333,0,0,0,0,0,0,0,0,0,0,0,0,149.340577489562,0,20.1307724927609,0,20.3485087779941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.996856639428,0,0,7.03696487617151,0,0,0,0,0,0,0,135.951077717868,0,9.01894460592669,0,0,8.84791732007779,0,0,0,17.6681029965835,0,0,0,6.50415787099078,0,0,0,106.709168036526,0,0,0,0,0,"CC vs. HC","CC"
"LOC111107221",5.76896009338388,16.3145056547304,4.73175764519966,4.5721168497658,4.82821548019328e-06,0.00152210621100822,0.00326422465499457,0,0,0,0,9.25033578769282,0,63.6510857963291,0,6.57730553001454,0,0,0,0,0,0,0,0,0,0,10.9274493608788,0,0,0,0,0,20.0616584167275,0,0,0,0,0,0,0,0,1.99844348897375,3.5020809231794,0,0,22.5652021038836,0,0,0,76.91706317591,0,0,0,15.1020239773017,0,0,1.3579180251617,0,0,31.2186973730623,0,0,0,1.64971143789195,0,11.6398909859229,0,0,0,0,0,0,0,2.32891606735765,0,0,0,30.7244150321434,0,6.94119831079388,0,2.05974072769038,28.6385988053215,7.74192765506807,0,0,0,0,0,94.2204431783087,0,0,93.2081426184712,0,0,0,0,0,0,0,0,"CC vs. HC","HC"
