"Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","svalue","B1_B1_O01","B1_W5_O50","B2_B5_O51","B2_C4_O40","B3_B4_O41","B3_C3_O30","B3_C6_O66","B3_H4_O41","B3_W1_O06","B3_W4_O41","B4_B2_O19","B4_B3_O32","B4_C5_O56","B4_H1_O07","B4_H5_O55","B4_W2_O19","B4_W6_O67","B5_B6_O69","B5_H2_O21","B5_W3_O33","B6_C2_O24","B6_H3_O35","B6_H6_O72","C_W5_W52","C1_C4_W37","C1_H2_W13","C1_H6_W62","C2_B2_W16","C2_C1_W03","C2_H1_W04","C2_W2_W15","C3_B3_W30","C3_C2_W17","C3_W3_W29","C4_B1_W07","C4_B5_W56","C4_C6_W67","C4_H5_W56","C5_B4_W46","C5_C3_W33","C5_W1_W09","C5_W4_W45","C6_B6_W71","C6_C5_W59","C6_H3_W36","C6_H4_W48","C6_W6_W72","H1_B2_B13","H1_B6_B61","H1_C6_B62","H1_W4_B38","H1_W5_B49","H2_B5_B51","H2_C1_B04","H2_H1_B03","H2_W2_B16","H3_B4_B41","H3_C5_B54","H3_H4_B41","H3_H6_B66","H3_W3_B30","H3_W6_B66","H4_H2_B19","H4_W1_B07","H5_B1_B09","H5_B3_B34","H5_C2_B22","H5_C4_B46","H6_C3_B36","H6_H3_B35","W1_C1_G02","W1_C6_G61","W1_H5_G49","W1_W1_G01","W1_W6_G62","W2_B2_G04","W2_B6_G64","W2_C2_G15","W3_B5_G54","W3_C3_G29","W3_H2_G18","W3_H3_G30","W4_C5_G55","W4_H1_G08","W4_W5_G56","W5_B2_G21","W5_C4_G45","W5_H4_G46","W5_W2_G22","W6_B3_G35","W6_B4_G48","W6_H6_G71","W6_W3_G36","W6_W4_G48","pair","DEG_group"
"LOC111115242",32.672613553854,2.55812368984786,2.56755652455837,3.9532159816101,7.71077771380133e-05,0.0174636678479352,0.0909772258809554,0.937529323040497,5.96579890398584,14.1711007158214,1.74010773716986,17.344379601924,4.70217686216312,1.3123935215738,0,5.48108794167878,0.990877054563437,5.05413232309125,306.123910404274,4.21672502957856,0,3.97502717574818,4.97703311562108,5.35133742563284,13.5138999151398,4.39808151552714,5.46372468043942,0.925711849269618,7.81742070983714,9.4487918381745,29.5907929662457,200.16580021445,2.3601951078503,706.336541451982,12.5329359375362,2.02628679455062,5.46942578831033,15.7983489618272,3.4138087671019,1.86735587871393,16.7102360485838,3.9968869779475,26.2656069238455,35.4261286693937,0,16.118001502774,0,0,4.23661212736346,4.86816855543734,23.2278144147241,3.67389958225977,0.924932217181551,8.05441278789426,4.65997378619316,0,2.03687703774255,0,9.67005375877312,6.93748830512496,2.77140638235433,4.77762901073962,20.7806831046929,1.64971143789195,3.52198173195595,2.11634381562235,15.515010076855,2.16388289572832,10.063169222809,1.8049908802235,16.0844911455349,9.62041777778616,0,2.32891606735765,6.38192577947084,0,3.5420444515011,6.72096578828136,6.83171244813408,5.78433192566157,7.21515568474135,1.37316048512692,2.72748560050681,28.7557312902528,18.3160953237401,775.471626616393,3.40075513062581,10.7971740534677,10.7700584177749,448.048277667064,1.82648792203101,6.50415787099078,3.27046114450776,6.21939362394495,5.01648081162786,3.67962648401815,2.11082592711901,1.15033419439293,3.32478888268981,20.4439805875704,18.0641701930294,"HC vs. WC","WC"
"LOC111104573",192.678592470791,-6.01688965888102,5.76446330676568,-3.79851039122928,0.000145568327263043,0.0276225736679412,0.0775739257570987,0,431.526120721642,0,0,0,605.405271003502,0,1351.20962995344,0,1176.1710637668,0,831.21145116716,0,425.764251635113,0,710.72032891069,449.512343753158,0,0,0.910620780073236,1.85142369853924,0,734.906031858016,293.99884624528,0,0,1010.32948334271,0,1.01314339727531,441.929603695475,0,0,351.996583137575,0,1.99844348897375,0,0,932.456208111075,0,664.752495547175,329.176317786664,0,0,8.51686528539885,0,0.924932217181551,1.00680159848678,0,0,702.0436190086,1.04946856284398,2.14890083528292,0,0,300.990627676596,0,272.202387252171,780.999449061233,419.036075493226,0,1.08194144786416,0,875.420576908397,3.01584208978779,0,0,427.356098360128,0,371.461811637874,627.650276805996,0,0,0,332.799055958695,527.293626288738,0,0,0,0,1.13358504354194,0.981561277587971,0,0,0,0,1290.19692150831,0,0,417.63760593606,0,0,0,0,0,"HC vs. WC","HC"
"LOC111112751",156.181501812707,-1.813396829271,1.94548200356268,-3.98457994139101,6.75995977472014e-05,0.0156123939402336,0.0970967969700137,31.8759969833769,196.871363831533,85.0266042949285,1.74010773716986,122.56694918693,717.081971479876,22.3106898667545,265.896535143976,76.7352311835029,240.783124258915,3.03247939385475,225.341211825368,37.950525266207,224.205643148277,5.30003623433091,505.666564547101,500.885183039234,41.2924719629272,102.03549116023,89.2408364471771,74.0569479415694,17.0561906396447,207.873420439839,530.725189975246,2.22406444682723,18.2915120858398,937.684111199703,63.709091015809,34.4468755073605,172.833854910606,22.1176885465581,11.3793625570063,242.756264232811,25.6223619411618,19.9844348897375,73.5436993867673,15.8286957884525,528.530300588572,79.5154740803517,56.8817588782384,109.384677028488,38.1295091462711,83.7324991535223,345.320174298899,23.5129573264625,49.9463397278037,23.156436765196,29.1248361637072,37.7051191967129,974.306183053522,37.7808682623832,15.0423058469804,33.5311934747707,12.0094276568688,215.948831285431,0.98955633831871,402.529590845635,662.132565607719,260.310289321549,8.72719316823091,43.2776579145664,150.947538342136,322.190872119894,29.153140201282,3.84816711111446,32.3062133299014,328.377165497428,160.611798783349,414.975909572597,255.73560939838,34.5649669111613,59.4358982987665,48.009954982991,377.893778988328,801.925723314123,145.920479627114,63.0414109055543,32.5619472422046,99.1470572842877,7.93509530479357,145.27106908302,33.6564325555466,10.0234514019477,45.6621980507752,31.4367630431221,85.8496050433288,54.7306638907155,93.3065430962782,393.720033789942,77.045146339844,111.582416856114,135.208081229385,8.60799182634543,48.8795193458442,"HC vs. WC","HC"
"LOC111122352",2.1832548498635,-18.8264309084427,3.03388397914209,-6.29383628830478,3.09714470228078e-10,1.90746078550117e-07,3.63669868430259e-07,0,0,0.944740047721428,0,0,0,0,0,0,0,0,0,3.16254377218392,0,0,0,0,0,0,30.0504857424168,0,1.42134921997039,0,0,0,0,0,0,2.02628679455062,0,2.10644652824363,0,0,0,0,0,0,0,0,0,0,0,1.94726742217494,0,0,0,0,8.15495412583803,2.03811455117367,6.11063111322766,0,24.7123596057535,1.15624805085416,0,0,1.97911267663742,0,2.64148629896696,0,0,0,0,0,1.00528069659593,1.92408355555723,0,4.65783213471529,0,2.122638923645,0,0,0,0,0,0.686580242563462,0,0,0,92.9503662040197,0,0,0,0,0,2.16805262366359,0,0,7.02307313627901,0,2.11082592711901,0,0,0,2.12519649329757,"HC vs. WC","HC"
"LOC111106287",5.57937339570866,41.7598536046793,5.37090652711545,8.18121829715089,2.80988335548554e-16,4.69718834258665e-13,3.03942563263413e-12,0,0,0,0,0,0,0,0,0,0,0,0,1.05418125739464,0,0,0,0,0,0,135.682496230912,17.5885251361227,0,0,0,0,0,0,0,0,0,0,0,0,14.4822045754393,0,0,0,0,3.2236003005548,0,0,0,0,15.4852096098161,0,0,0,0,1.01905727558684,0,0,0,0,0,0,0,0,0,0,0,143.898212565933,0,0,0,0,0,0,0,0,0,0,63.534925767647,0,36.9776728842994,0,17.7286564032942,0,0,52.2292533908301,0,19.6312255517594,0,0,0,0,0.817615286126941,0,0,0,0,0,1.1082629608966,0,0,"HC vs. WC","WC"
"LOC111125092",4.38886990330183,17.6157412705832,2.98050793724218,5.99313431060739,2.05834712270846e-09,1.09482235973758e-06,1.81139936206714e-06,3.75011729216199,0,0,0,0,1.17554421554078,0,0,0,0,1.01082646461825,1.06293024445928,0,0,1.32500905858273,0,3.2108024553797,1.50154443501553,0,3.64248312029294,0,11.3707937597631,0,48.6816271380172,0,34.2228290638293,0,1.04441132812802,0,0,0,0,0,0,0,0,24.8736648104254,0,0,0,0,0,2.92090113326241,0,0,0,37.251659144011,0,120.248758519247,0,0,0,0,0,0,0,0,0,0,4.84844064901717,2.16388289572832,0,1.8049908802235,0,3.84816711111446,0,0,0,0,0,0,0,0,0,0,5.45497120101362,0,0,0.885241582895426,2.26717008708388,0,0.673128651110932,0,0,4.33610524732718,0,4.97551489915596,0,0,0,1.15033419439293,0,82.8519213285748,0,"HC vs. WC","WC"
"LOC111100593",10.3395270635139,20.4468206232262,2.24970922391598,9.15944883406168,5.21630528969004e-20,1.30798855138978e-16,2.58539945024382e-16,7.50023458432398,0,1.88948009544286,0,0,0,0,0,0,0,0,31.8879073337785,0,0,5.30003623433091,0,12.8432098215188,0,1.75923260621086,0,2.77713554780885,4.26404765991117,0,51.5452522637829,18.9045477980314,15.3412682010269,0,21.9326378906883,0,28.4410140992137,18.9580187541926,0,0,0,6.99455221140812,4.37760115397425,0,0,4.29813373407306,0,0,0,0,16.2594700903069,13.2260384961352,0,28.1904447576299,0,22.4192600629104,0,97.6005763444898,26.8612604410364,11.5624805085416,0,3.8221032085917,0,0,0,0,3.87875251921374,219.634113916425,2.51579230570226,28.879854083576,0,16.3547102222365,0,0,0,0,1.41681778060044,0,0,0,133.480380167715,2.74632097025385,24.5473704045613,6.63593799005834,2.03512170263779,9.73765741184968,39.6754765239678,3.92624511035188,0,12.0281416823373,0,0,0,0,0,0,3.16623889067852,2.30066838878586,0,0,0,"HC vs. WC","WC"
"LOC111113589",5.10078479960862,17.3564989855567,2.74208294359043,6.40265645093093,1.52696525709363e-10,1.05106108529945e-07,1.13092904818615e-07,0,1.98859963466195,5.66844028632857,0,0,2.35108843108156,3.93718056472139,0,0,0,0,2.12586048891857,35.8421627514178,0,0,0,0,0,1.75923260621086,0,0,0,9.4487918381745,0,1.11203222341361,0,0,0,0,0,3.15966979236544,0,0,51.2447238823236,0.999221744486874,1.7510404615897,0,0,0,0,0,0,0,0,0,0,0,6.98996067928974,2.03811455117367,0,33.5829940110072,0,0,0,0,0,16.4971143789195,0,16.9307505249788,3.87875251921374,0,2.51579230570226,0,2.01056139319186,0,0,0,0,0,0,0,0,0,0,0,9.54619960177383,0,0,0,5.66792521770969,0,0,0,1.82648792203101,2.16805262366359,0.817615286126941,0,2.00659232465115,0,0,233.517841461765,0,2.15199795658636,15.9389736997318,"HC vs. WC","WC"
"LOC111106737",16.1576563916636,2.20644582974129,3.20105936339361,3.66821790345636,0.000244246983033598,0.0424469818781904,0.152532330381523,0,0,0,4.35026934292464,1.1562919734616,0,4.59337732550828,0,0,0,0,2.12586048891857,0,353.293740718498,0,5.97243973874529,0,22.523166525233,135.460910678236,11.8380701409521,5.55427109561771,3.55337304992597,3.1495972793915,36.2725849263658,0,9.44078043140119,12.2938322088161,18.7994039063043,0,0,10.5322326412181,2.27587251140127,0,10.0261416291503,163.872366095847,5.25312138476909,5.27623192948417,6.2302196533034,4.29813373407306,0,6.13372020720492,12.7098363820904,0.973633711087469,0.774260480490804,4.40867949871173,0,9.06121438638104,10.4849410189346,18.3430309605631,0,0,80.5837813231093,1.15624805085416,0,155.750705750112,0,0,1.76099086597798,0,1.93937625960687,2.16388289572832,109.436965298048,17.1474133621232,0,1.92408355555723,12.3523756849623,0,0,0,0,2.88041390926344,0.683171244813408,8.67649788849235,6.31326122414868,0,5.45497120101362,0,2.03512170263779,1.77048316579085,2.26717008708388,5.88936766552782,0,61.1430535518812,0,10.840263118318,1.63523057225388,106.973570331853,8.02636929860458,4.59953310502268,0,1.15033419439293,1.1082629608966,0,2.12519649329757,"HC vs. WC","WC"
"LOC111099751",5.64582501014509,15.7159803319753,2.55873212178627,6.20390297746702,5.50797503461927e-10,3.22262439317183e-07,6.80020655239577e-07,0,1.98859963466195,0.944740047721428,0,0,0,2.62478704314759,0,0,0,0,4.25172097783713,3.16254377218392,0,0,0,0,1.50154443501553,0,0,0,0,1.04986575979717,0,8.8962577873089,0,0,0,1.01314339727531,2.18777031532413,9.47900937709632,0,2.80103381807089,13.368188838867,0,6.12864161556394,0,0,0,0,0,0,5.84180226652481,1.54852096098161,2.20433974935586,0,8.05441278789426,0,2.03811455117367,0,2.09893712568795,19.3401075175462,2.31249610170832,0,0,0,0,0,0,0,14.0652388222341,0,112.811930013969,0,1.92408355555723,0,0,0,0,0,0,0,4.62746554052925,0,0,88.6432820164712,102.857038845904,0,0,0,0,0,2.00469028038955,0,19.5124736129723,0,0,0,3.67962648401815,0,2.30066838878586,0,0,75.4444755120638,"HC vs. WC","WC"
