"","MEgrey60","MElightcyan","MEblue","MEyellow","MEblack","MEmagenta","MEpink","MEcyan","MEred","MEbrown","MEgreen","MEsalmon","MEturquoise","MEmidnightblue","MEpurple"
"B1_B1_O01",0.0743474335473247,-0.0431806920358684,-0.0630919741009261,-0.0980681273789187,0.0698571060582023,-0.0106342939506355,-0.0137445361751987,-0.0146273749924736,0.113939211665241,0.0358539716995146,0.0715592574176205,0.103431017391633,-0.0567496461382187,0.0099209997060367,-0.062483774457002
"B1_W5_O50",0.0754929452296599,-0.00669941696678256,0.0686504885262307,-0.0354115628075916,-0.0254373270914882,0.0895108209697236,-0.0515947496002949,-0.0458843127102729,-0.0893053946322645,-0.110507010131483,0.00412105205837021,0.0546643062451045,0.0245060879255506,-0.118209930445169,0.113104667103676
"B2_B5_O51",0.120387335710684,-0.02455590177355,0.0789873434408998,0.0058412177512781,0.0779384015666597,0.137404506931885,0.0210391625968008,0.646436582807307,0.175111664344628,-0.188894973921332,-0.0763766313816978,0.0319029909377532,0.0530588633062093,-0.0837262306569704,-0.0876252459318022
"B2_C4_O40",0.0481909452260519,0.0641971616481145,-0.00740403174936021,-0.0827287973305292,-0.111022616561777,-0.0805293727929563,-0.0331251420499422,-0.0465199042579403,-0.0639648258503205,0.0757334769967093,0.0426433896881332,0.110886747427272,-0.00359126314980108,-0.106266581736351,0.0945272614841256
"B3_B4_O41",0.0195106478816932,-0.0229696803206523,0.0723458032897285,-0.0264128909076379,0.0553836799628181,0.0967489998727864,-0.021979439276718,-0.0488442342799599,-0.0785877390666107,-0.151284847500218,-0.0297372183662598,0.0575933050341668,0.0327602267373577,-0.130490933843709,0.0997647862533969
"B3_C3_O30",-0.0152453993006732,0.101758830976908,0.108273915914329,0.13225727864945,-0.0931006740899975,-0.00805311434173116,-0.026910629411385,-0.0545761571220304,-0.0796424770673008,-0.101547930298579,-0.189810608810497,-0.0617710042742389,-0.02104190897782,-0.0129325435881668,0.10766239530045
"B3_C6_O66",-0.0226346043886825,-0.00807318704390304,0.114901387813843,-0.0178852700890497,-0.0587905269710116,0.0239134626653846,-0.0334029755173898,-0.0396262286805926,-0.0589174284696416,-0.06167809063776,-0.0525554760892511,-0.023606980079258,0.172740972944637,-0.0888787679531286,-0.0798179115938832
"B3_H4_O41",0.0445784180503133,-0.0317733395377588,-0.167204854809459,-0.107979524291544,0.0766734989561904,-0.0657086570131454,-0.0683628390304147,-0.0617837951507512,-0.09274032360325,0.0832516157668787,0.127231680238771,-0.117258358722797,-0.051613428318459,0.179648609526934,-0.0989877190654847
"B3_W1_O06",0.109632588969648,-0.0673039716600859,-0.178944285100317,-0.00646908914230442,0.297608721543156,0.0282884272236934,-0.0469200712743005,-0.052637131238205,-0.0586671462622964,-0.0477442576737636,0.140394479243841,0.0213578058605384,-0.0650277652483637,0.195865512531273,0.191453209294997
"B3_W4_O41",-0.0314879597918026,-0.010453988979226,-0.0591031873856931,-0.105184388556673,-0.0597335842002497,-0.0490594989897413,-0.029137068969464,-0.020407866937511,-0.0554228619420695,0.135538656648235,0.153339357294263,0.120078352091292,-0.0655963248329678,-0.0833352880550899,-0.0761829326551514
"B4_B2_O19",-0.0966396791870136,-0.00368069238113229,-0.0353540773255647,0.0350180403784059,-0.0477139831980407,-0.0781160582392698,-0.026389050585646,-0.0386564344829983,0.0824188113371431,0.0583779772610395,-0.0458869075654512,-0.00335801765350894,-0.0491144624318844,0.0761023713998497,0.126728115137036
"B4_B3_O32",-0.240211299234089,-0.263301848119548,-0.0912559278271894,0.0195714710998489,0.0965460584149301,0.014896074960326,0.232980400639457,-0.0231910453977243,-0.0133668876793535,-0.04338726211516,0.0369722094005282,0.0082770161448764,0.272972734191702,0.137673887951494,-0.0519326975353372
"B4_C5_O56",-0.0578337552126671,-0.0723179493472126,0.250409749259264,0.0393557911455323,-0.00349346400960748,0.129950702720129,-0.0400487348433019,0.0549269094178904,-0.0700445298946021,-0.221800184565764,-0.10272726433732,-0.0342567793027857,0.199265863520258,-0.221394951866859,-0.129566943899691
"B4_H5_O55",0.303628862300515,0.244808762455095,-0.0198645163828702,0.230831852185319,0.0191274975427589,-0.0657362516672789,-0.0379728439317552,-0.0431719741514602,-0.072009994222596,0.0445857093946336,-0.0739992470957979,-0.318699710623095,-0.0780672039473816,0.291023616532514,-0.0998501629525117
"B4_W2_O19",-0.00949848756620486,-0.069208607477891,-0.100797489184309,-0.147549300409787,-0.0517029008378153,-0.063781346040396,-0.0238864336853644,-0.04767862495072,0.0821505156179913,0.121384510335339,0.12817410739647,0.0760637013874397,0.0182342299821822,0.0319551477902427,0.17949121722435
