"","MEgreen","MEred","MEblue","MEmidnightblue","MEcyan","MEbrown","MEyellow","MEturquoise","MEpink","MEblack","MEtan","MEsalmon","MEgreenyellow","MEmagenta"
"B1_B1_O01",-0.0726770466835197,0.00971408799906954,0.0743686033084605,0.098333914720549,-0.0289781277009381,-0.0896668387547678,-0.0459850400107592,-0.0576551060900804,-0.0137292334876808,0.123005187197748,-0.00850776945431746,0.037484714254961,-0.00310037981858051,0.0569358088518154
"B1_W5_O50",0.112594578981003,-0.111083731286782,-0.0147552551449055,0.0647471216760033,0.022241328679439,-0.0428521586430157,0.0690496055457456,0.0245807160735058,-0.0616765568100769,-0.0847108144673853,-0.0606936219302104,-0.0701790379297388,0.0851179052731443,0.000898164389112832
"B2_B5_O51",-0.089849711122735,-0.18235121240618,-0.0646816602443915,0.0273456551889938,0.0531349904933558,0.0191765005435794,0.0717722236371292,0.0536754246339068,0.019914378498553,0.182479163805201,0.61539289984424,-0.0389560084694356,0.13532434597756,0.1043639581017
"B2_C4_O40",0.101409974015599,0.0799925462819681,0.0472765420626099,0.0998997908101325,0.0534751959682201,-0.0735573113549783,0.00870244202096479,-0.00581090897173685,-0.0411929569393297,-0.0640129476417461,-0.0548778880650244,-0.105111208209646,-0.0837710346762742,-0.117719735755435
"B3_B4_O41",0.0998187294272429,-0.152270648164208,-0.0432148800686517,0.0554793526173867,0.0149332022058508,-0.025482414551481,0.075045647064635,0.0350973880882989,-0.0278513555107639,-0.0748205858077872,-0.0669886590041241,-0.040158625885754,0.0902540763218623,0.0899543403339553
"B3_C3_O30",0.134212271097135,-0.0549192850104768,-0.221530192260805,-0.0239481159658983,0.107394126937025,0.135036279524624,0.107547430252096,-0.0168955546566393,-0.0325332707835724,-0.075449647262841,-0.0771059371089968,-0.0424201231368709,-0.00458337860615906,-0.052992124993385
"B3_C6_O66",-0.0851426490405937,-0.0419751151244974,-0.0452554181236198,-0.024316546135523,-0.0128596087446821,0.00903091731220684,0.115275664526336,0.15203498469417,-0.033443858393802,-0.059570482552311,-0.0272756511368632,-0.108544195972916,0.0371304460266382,-0.0168628616005915
"B3_H4_O41",-0.0962902957294615,0.0621823121384358,0.121161284520475,-0.168448549836289,-0.0229089928877905,-0.0860808579427412,-0.176126360041124,-0.046820206775601,-0.0607032805659674,-0.0805619394231979,-0.0487342732368371,0.149939940349765,-0.0587466948589804,0.036320561126708
"B3_W1_O06",0.162100740253928,-0.0793487037523943,0.102121218006016,-0.00605054936138343,-0.00617547838199243,-0.0298260638179835,-0.185624052565646,-0.0676642051198304,-0.0506607359126379,-0.0574891680043726,-0.0675504988453458,0.28751333733926,-0.00422533353232105,0.267788884193943
"B3_W4_O41",-0.063464054309115,0.112030003720827,0.169242271227152,0.100313065335051,-0.046097361102603,-0.102068688723989,-0.0456052163756423,-0.0698847989029475,-0.0439626253793949,-0.0629199499433896,-0.0129523014640543,-0.0766943776825259,-0.0563649712769702,-0.078312114372845
"B4_B2_O19",0.13731569734776,0.0692248577367908,-0.0505650526766765,0.00846942605153164,-0.0242491409260954,0.00967801015396781,-0.0290665078946735,-0.0491008905634158,-0.0326044604317116,0.0839450270935151,-0.0478864981504385,0.0545051528855732,-0.0724008109481007,-0.0630464966605999
"B4_B3_O32",-0.0652272210708816,-0.0719908841014348,0.0087443552811624,0.0160903520056338,-0.272788793646944,-0.0179888871237189,-0.10416155445454,0.242698677494601,0.236563833580797,-0.0211769546392422,-0.0147371687618905,0.125882110358562,0.00803749917437866,0.066144989050399
"B4_C5_O56",-0.127481436159346,-0.225793982915177,-0.091846194526969,-0.0090896719454778,-0.0391542036345819,0.0665689821321472,0.240967252983335,0.19243003596389,-0.0421642794809923,-0.0652726413154507,0.0632422890209937,-0.159521265584224,0.149615157361225,0.0415961285119512
"B4_H5_O55",-0.093089483318115,0.0946753809853709,-0.0588471876932781,-0.306800725907015,0.265624494707329,0.223026132630743,-0.0454582381233494,-0.0748004800124447,-0.0304326342987476,-0.0641843699937659,-0.0287781850811642,0.102505900773083,-0.0428361576616429,0.0117336793335579
"B4_W2_O19",0.176618384762163,0.0975419342323874,0.119795639532582,0.0448904193292293,-0.098225017589088,-0.169179997550108,-0.0882149015804638,0.0184693036499402,-0.0320604208287764,0.0838463970595167,-0.0777573969967723,0.0385990203736908,-0.074127562681858,-0.0911229968291031
"B4_W6_O67",-0.0798010252721389,-0.175105713612771,-0.0639351318515843,-0.0308074447448069,0.0191410213825044,0.169920119406263,0.0101528735857296,-0.0455248745666591,-0.0234976708894051,-0.0580122673630516,0.0863236112690351,0.00269914315974204,0.16011696146249,0.146560782920188
"B5_B6_O69",0.121102581270945,0.0477202613475934,-0.0538338661342974,0.0293331669174864,-0.103646796150083,-0.041652933517653,-0.0411552826050232,0.11104974942442,0.00137737816162735,0.188563335904956,-0.013287505745882,0.0289405656316655,-0.0376703806977757,-0.0523649904723529
"B5_H2_O21",-0.0879552485328467,0.0890370707740453,0.137120060169732,-0.223096436602863,0.0305540659577929,-0.0276915058978996,-0.137089012963377,-0.0394625732535775,-0.0371863389712932,-0.0556556998627226,-0.0125742749217488,0.0661241418959672,-0.064358909527649,-0.0246862926342655
"B5_W3_O33",-0.062583568287528,0.102139745562775,0.191974260832361,-0.0743413800948653,-0.123465413237324,-0.174726235679071,-0.248578712868376,-0.052656060156292,0.0258190885990318,0.246591254925907,0.0806542246013859,0.135484565239077,0.0133795554281277,0.0644955841289217
"B6_C2_O24",-0.0185024988245033,0.0698563125746197,-0.0027178069177526,0.0443001900619018,0.00592874229862602,0.0132422090249877,0.120045718581012,-0.102524416094403,-0.0300506110026079,-0.0728595701668122,-0.0274078446638103,-0.142067662118039,-0.037876564069113,-0.154042899326013
"B6_H3_O35",-0.079014998400825,-0.0988011662073742,-0.00657300430564602,0.0995468795226749,-0.0990879296637886,-0.00617443487973278,0.0704266963064438,-0.0814177857663658,-0.0309815058678967,-0.0690329226244726,-0.0180115891797287,-0.0348752797979667,0.14777990346848,0.103815226711463
"B6_H6_O72",-0.072135570390947,-0.0417741765864025,0.132705778938043,0.0769871965365623,-0.0513223779135165,-0.101881930861451,-0.064137807843558,-0.0680694939456544,0.0222911740148702,0.254805089328842,0.0206049887407484,0.005004900603348,0.0388123319476252,0.0544875020031549
