Sample,Assigned,Unassigned_Unmapped,Unassigned_Read_Type,Unassigned_Singleton,Unassigned_MappingQuality,Unassigned_Chimera,Unassigned_FragmentLength,Unassigned_Duplicate,Unassigned_MultiMapping,Unassigned_Secondary,Unassigned_NonSplit,Unassigned_NoFeatures,Unassigned_Overlapping_Length,Unassigned_Ambiguity
counts_B1_B1_O01,45016202,14432572,0,0,0,0,0,0,9067686,0,0,7169113,0,1345753
counts_B1_Nu_O03,63355105,20038830,0,0,0,0,0,0,13367131,0,0,10487327,0,1931198
counts_B1_W5_O50,43379956,12964490,0,0,0,0,0,0,9828235,0,0,6823956,0,1270059
counts_B2_B5_O51,48242504,14066526,0,0,0,0,0,0,10806267,0,0,8499848,0,1476353
counts_B2_C4_O40,46708086,15096595,0,0,0,0,0,0,14477327,0,0,8961869,0,1530030
counts_B2_Nu_O12,64743240,18901638,0,0,0,0,0,0,12510132,0,0,12443557,0,1770523
counts_B3_B4_O41,40034320,11660517,0,0,0,0,0,0,9378683,0,0,7768276,0,1252072
counts_B3_C3_O30,40294869,12325280,0,0,0,0,0,0,21700185,0,0,9049463,0,1155285
counts_B3_C6_O66,68303359,18922339,0,0,0,0,0,0,9166863,0,0,12007231,0,1950944
counts_B3_H4_O41,40458852,13180430,0,0,0,0,0,0,8855618,0,0,9141938,0,1219069
counts_B3_Nu_O24,698043,2801843,0,0,0,0,0,0,2829796,0,0,194463,0,21522
counts_B3_W1_O06,44083420,14205829,0,0,0,0,0,0,10086991,0,0,8939627,0,1445879
counts_B3_W4_O41,40212373,12689472,0,0,0,0,0,0,15074063,0,0,7693669,0,1339736
counts_B4_B2_O19,43526997,13065237,0,0,0,0,0,0,9413094,0,0,9956969,0,1294925
counts_B4_B3_O32,42379159,13391755,0,0,0,0,0,0,23637351,0,0,7889362,0,1239935
counts_B4_C5_O56,45051635,13286724,0,0,0,0,0,0,11832160,0,0,9470790,0,1314575
counts_B4_H1_O07,34419877,7145101,0,0,0,0,0,0,17692578,0,0,11937923,0,858964
counts_B4_H5_O55,37595480,10007409,0,0,0,0,0,0,8445770,0,0,10924062,0,1085579
counts_B4_Nu_O32,70047033,21881634,0,0,0,0,0,0,9550196,0,0,11290379,0,2263010
counts_B4_W2_O19,40924114,12895981,0,0,0,0,0,0,11663531,0,0,6559703,0,1261293
counts_B4_W6_O67,45019086,13462392,0,0,0,0,0,0,7922222,0,0,10382561,0,1352679
counts_B5_B6_O69,57375462,17159772,0,0,0,0,0,0,7880348,0,0,9990428,0,1700052
