"Sample","raw.reads","paired.reads","total.success.paired","overall.align.rate.percent","aligned.paired.reads","total.assigned.reads","paired.assigned.reads","align.assign.percent"
"B1_B1_O01",71065074,35505181,71010362,81.18,28823105.9358,43560302,21780151,75.56
"B1_Nu_O03",100556142,50245777,100491554,81.56,40980455.7212,61112992,30556496,74.56
"B1_W5_O50",67779272,33866604,67733208,82.27,27862055.1108,41697027,20848513.5,74.83
"B2_B5_O51",76008956,37979887,75959774,82.88,31477730.3456,46515407,23257703.5,73.89
"B2_C4_O40",77162786,38556483,77112966,82.03,31627883.0049,45537802,22768901,71.99
"B2_Nu_O12",102409148,51170017,102340034,83.02,42481348.1134,62786888,31393444,73.9
"B3_B4_O41",63883380,31921849,63843698,83.18,26552593.9982,38608749,19304374.5,72.7
"B3_C3_O30",69814070,34881594,69763188,83.75,29213334.975,38864295,19432147.5,66.52
"B3_C6_O66",104668850,52308563,104617126,83.22,43531186.1286,65319762,32659881,75.03
"B3_H4_O41",66974464,33463442,66926884,81.8,27373095.556,38897083,19448541.5,71.05
"B3_Nu_O24",4555354,2269363,4538726,38.76,879605.0988,677310,338655,38.5
"B3_W1_O06",72196008,36074757,72149514,81.72,29480291.4204,42460708,21230354,72.02
"B3_W4_O41",66850396,33401017,66802034,82.36,27509077.6012,39162142,19581071,71.18
"B4_B2_O19",71060940,35504890,71009780,83.07,29493912.123,41911780,20955890,71.05
"B4_B3_O32",72436718,36193623,72387246,82.78,29961081.1194,40684104,20342052,67.89
"B4_C5_O56",73153876,36553253,73106506,82.94,30317268.0382,43439361,21719680.5,71.64
"B4_H1_O07",60159510,30057554,60115108,89.03,26760240.3262,33050483,16525241.5,61.75
"B4_H5_O55",62493520,31226054,62452108,85.18,26598352.7972,36092702,18046351,67.85
"B4_Nu_O32",109136250,54537374,109074748,81.42,44404329.9108,67571617,33785808.5,76.09
"B4_W2_O19",65482908,32716112,65432224,81.77,26751964.7824,39395646,19697823,73.63
"B4_W6_O67",73117894,36530375,73060750,83.02,30327517.325,43441667,21720833.5,71.62
"B5_B6_O69",89206134,44575066,89150132,82.18,36631789.2388,55232261,27616130.5,75.39
