"","Sample","Phase1_treatment","Phase1_temp","Phase1_DO","Phase1_TankRep","Phase2_treatment","Phase2_temp","Phase2_DO","Phase2_TankRep"
"1","B1_B1_O01","both","warm","hypoxic",1,"both","warm","hypoxic",1
"2","B1_Nu_O03","both","warm","hypoxic",1,NA,NA,NA,NA
"3","B1_W5_O50","both","warm","hypoxic",1,"warm","warm","normoxic",5
"4","B2_B5_O51","both","warm","hypoxic",2,"both","warm","hypoxic",5
"5","B2_C4_O40","both","warm","hypoxic",2,"control","ambient","normoxic",4
"6","B2_Nu_O12","both","warm","hypoxic",2,NA,NA,NA,NA
"7","B3_B4_O41","both","warm","hypoxic",3,"both","warm","hypoxic",4
"8","B3_C3_O30","both","warm","hypoxic",3,"control","ambient","normoxic",3
"9","B3_C6_O66","both","warm","hypoxic",3,"control","ambient","normoxic",6
"10","B3_H4_O41","both","warm","hypoxic",3,"hypoxic","ambient","hypoxic",4
"11","B3_Nu_O24","both","warm","hypoxic",3,NA,NA,NA,NA
"12","B3_W1_O06","both","warm","hypoxic",3,"warm","warm","normoxic",1
"13","B3_W4_O41","both","warm","hypoxic",3,"warm","warm","normoxic",4
"14","B4_B2_O19","both","warm","hypoxic",4,"both","warm","hypoxic",2
"15","B4_B3_O32","both","warm","hypoxic",4,"both","warm","hypoxic",3
"16","B4_C5_O56","both","warm","hypoxic",4,"control","ambient","normoxic",5
"17","B4_H1_O07","both","warm","hypoxic",4,"hypoxic","ambient","hypoxic",1
"18","B4_H5_O55","both","warm","hypoxic",4,"hypoxic","ambient","hypoxic",5
"19","B4_Nu_O32","both","warm","hypoxic",4,NA,NA,NA,NA
"20","B4_W2_O19","both","warm","hypoxic",4,"warm","warm","normoxic",2
"21","B4_W6_O67","both","warm","hypoxic",4,"warm","warm","normoxic",6
"22","B5_B6_O69","both","warm","hypoxic",5,"both","warm","hypoxic",6
"23","B5_C1_O09","both","warm","hypoxic",5,"control","ambient","normoxic",1
"24","B5_H2_O21","both","warm","hypoxic",5,"hypoxic","ambient","hypoxic",2
"25","B5_Nu_O36","both","warm","hypoxic",5,NA,NA,NA,NA
"26","B5_W3_O33","both","warm","hypoxic",5,"warm","warm","normoxic",3
"27","B6_C2_O24","both","warm","hypoxic",6,"control","ambient","normoxic",2
"28","B6_H3_O35","both","warm","hypoxic",6,"hypoxic","ambient","hypoxic",3
"29","B6_H6_O72","both","warm","hypoxic",6,"hypoxic","ambient","hypoxic",6
"30","B6_Nu_O47","both","warm","hypoxic",6,NA,NA,NA,NA
"31","C_W5_W52","control","ambient","normoxic",NA,"warm","warm","normoxic",5
"32","C1_C4_W37","control","ambient","normoxic",1,"control","ambient","normoxic",4
"33","C1_H2_W13","control","ambient","normoxic",1,"hypoxic","ambient","hypoxic",2
"34","C1_H6_W62","control","ambient","normoxic",1,"hypoxic","ambient","hypoxic",6
"35","C1_Nu_W01","control","ambient","normoxic",1,NA,NA,NA,NA
"36","C1_Nu_W05","control","ambient","normoxic",1,NA,NA,NA,NA
"37","C2_B2_W16","control","ambient","normoxic",2,"both","warm","hypoxic",2
