"gene_common","gene_id","description","present","Function"
"DNMT1","LOC111121210","DNA methyltransferase 1-associated protein 1-like","Yes","Writer"
"DNMT2","LOC111125611","tRNA (cytosine(38)-C(5))-methyltransferase-like","Yes","Writer"
"DNMT3B","LOC111122163","DNA (cytosine-5)-methyltransferase 3B-like","Yes","Writer"
"DNMT3A",NA,NA,"No","Writer"
"DNMT3L",NA,NA,"No","Writer"
"TET1","LOC111118472","methylcytosine dioxygenase TET1-like","Yes","Eraser"
"TET2",NA,NA,"No","Eraser"
"TET3",NA,NA,"No","Eraser"
"MBD1",NA,NA,"No","Reader"
"MBD2","LOC111128560","methyl-CpG-binding domain protein 2-like","Yes","Reader"
"MBD3",NA,NA,"No","Reader"
"MBD4","LOC111107813","methyl-CpG-binding domain protein 4-like","Yes","Reader"
"MECP2",NA,NA,"No","Reader"
"HELLS","LOC111125248","lymphoid-specific helicase-like","Yes","Support"
"HELLS","LOC144622148","lymphoid-specific helicase-like","Yes","Support"
"HELLS","LOC111132030","lymphoid-specific helicase-like","Yes","Support"
"UHRF1","LOC111122328","E3 ubiquitin-protein ligase UHRF1-like","Yes","Support"
"UHRF2",NA,NA,"No","Support"
"DMAP1","LOC111121210","DNA methyltransferase 1-associated protein 1-like","Yes","Cofactor"
"EZH2","LOC111123912","histone-lysine N-methyltransferase EZH2-like","Yes","Cofactor"
"G9A",NA,NA,"No","Cofactor"
"PCNA","LOC111120673","proliferating cell nuclear antigen-like","Yes","Cofactor"
"SETDB1","LOC144625770","histone-lysine N-methyltransferase SETDB1-like","Yes","Cofactor"
"SETDB1","LOC111131506","histone-lysine N-methyltransferase SETDB1-B-like","Yes","Cofactor"
"SUV39H1",NA,NA,"No","Cofactor"
"AICDA","LOC111116074","activation induced cytidine deaminase","Yes","Demethylation Pathway"
"GADD45A","LOC111118479","growth arrest and DNA damage-inducible protein GADD45 alpha-like","Yes","Demethylation Pathway"
"GADD45A","LOC111118431","growth arrest and DNA damage-inducible protein GADD45 alpha-like","Yes","Demethylation Pathway"
"SMUG1","LOC111133661","uracil-DNA glycosylase-like","Yes","Demethylation Pathway"
"SMUG1","LOC111114668","uracil-DNA glycosylase-like","Yes","Demethylation Pathway"
"TDG","LOC111109690","thymine DNA glycolase","Yes","Demethylation Pathway"
